Type,Core 0,Core 1,Core 2,Core 3
Baseline,97.8235,97.968,91.036,94.896
RPS,94.9995,96.583,95.6925,92.6645
RPS-7,94.6705,95.093,96.99,91.743
RFS,93.986,93.9985,96.5905,92.403
RPS+,95.552,93.504,94.387,92.788
RPS-7+,94.0105,92.9725,96.8125,93.5105
RFS+,91.8135,92.4975,96.711,92.6935
