Type,Core 0,Core 1,Core 2,Core 3
Baseline,0.5520103602,0.4879187376,0.7887307521,2.182452187
RPS,1.553667894,2.139112984,1.938202059,5.053475871
RPS-7,1.599390946,1.984898803,2.525755822,2.715146203
RFS,0.5463398413,0.8227354458,1.043355172,2.766468746
RPS+,1.992261783,1.877299807,2.243206731,4.049627898
RPS-7+,2.30783359,1.895660929,3.444513271,2.550640142
RFS+,1.194014032,0.9483912779,1.273392586,2.015807603
