Type,Core 0,Core 1,Core 2,Core 3
Baseline,11.0825,10.364,18.749,87.1115
RPS,16.314,16.3535,20.5535,64.865
RPS-7,21.247,23.1285,16.8945,49.3395
RFS,17.302,19.386,18.788,58.661
RPS+,17.773,19.002,18.2985,57.899
RPS-7+,23.395,24.208,15.618,44.648
RFS+,18.6885,19.9675,18.9855,53.9315
