Type,Core 0,Core 1,Core 2,Core 3
Baseline,0.1950013882,0.1818745426,0.4166487713,0.7936447757
RPS,1.711407317,1.120926103,1.331651196,2.024326953
RPS-7,1.750229949,1.610805766,0.3392582031,2.093918961
RFS,0.4115065598,0.4876466504,0.4902453994,0.8083462328
RPS+,1.561894387,2.200588557,1.647432474,1.938443129
RPS-7+,1.74825809,1.953337897,1.044841645,1.972247111
RFS+,1.234036492,1.245295967,0.7870744531,1.194905827
