Type,Core 0,Core 1,Core 2,Core 3
Baseline,2.825168367,2.842803523,1.99776141,1.435890776
RPS,3.265183196,3.503394497,3.549469638,4.376121902
RPS-7,2.586040005,2.856801453,4.182106852,3.481866573
RFS,2.473506952,2.053182244,2.300709294,2.827168514
RPS+,3.454104014,2.854727512,3.367552123,3.688646601
RPS-7+,3.919290669,2.37332951,5.901137931,4.700490848
RFS+,2.665756685,2.789860315,3.072611793,3.021732091
