Type,Core 0,Core 1,Core 2,Core 3
Baseline,0.03700368206,0.02937601144,0.1433817964,0.6838715147
RPS,0.6741666749,0.4290728866,0.600514213,1.294153126
RPS-7,0.6439225782,0.5701335468,0.3019953872,1.399434828
RFS,0.1752590704,0.2427522078,0.238617787,0.5934822741
RPS+,0.3671649984,0.6059129598,0.5606830991,1.056845275
RPS-7+,0.5068137016,0.5380301326,0.1629660982,0.9607372799
RFS+,0.2058662887,0.2557211278,0.2127571265,0.8600566405
