Type,Core 0,Core 1,Core 2,Core 3
Baseline,65.917,66.234,53.744,6.024
RPS,61.77,62.1715,56.6465,21.977
RPS-7,54.605,53.394,63.338,34.709
RFS,59.506,58.9105,58.6445,27.5745
RPS+,61.7995,60.7175,61.471,28.406
RPS-7+,52.7845,52.9095,62.1695,38.5105
RFS+,60.003,58.8955,60.0245,31.578
